fid,סמל ועדה,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל
"107","1",ירושלים,"3000",ירושלים,591.2,"183","קדושי בבל,1 ",הלל חמד הניסויי, , ,"477"
"108","1",ירושלים,"3000",ירושלים,591.3,"183","קדושי בבל,1 ",הלל חמד הניסויי, , ,"476"
"109","1",ירושלים,"3000",ירושלים,592,"240","רזיאל דוד,29 ",מקיף עירוני סליסברג,כ,כ,"551"
"110","1",ירושלים,"3000",ירושלים,597,"381","ורדינון,12 ",מרכז פיס קהילתי,כ, ,"500"
"111","1",ירושלים,"3000",ירושלים,598,"381","ורדינון,12 ",מרכז פיס קהילתי,כ,כ,"586"
"112","1",ירושלים,"3000",ירושלים,623,"324","גיא בן הינום,8 ",מרכז המוסיקה גיא בן הינום,כ,כ,"474"
"113","1",ירושלים,"3000",ירושלים,634,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"501"
"114","1",ירושלים,"3000",ירושלים,635,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"589"
"115","1",ירושלים,"3000",ירושלים,637,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"561"
"116","1",ירושלים,"3000",ירושלים,638,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"552"
"117","1",ירושלים,"3000",ירושלים,641,"240","רזיאל דוד,29 ",מקיף עירוני סליסברג,כ,כ,"618"
"118","1",ירושלים,"3000",ירושלים,643,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"564"
"119","1",ירושלים,"3000",ירושלים,680,"381","ורדינון,12 ",מרכז פיס קהילתי, , ,"658"
"120","1",ירושלים,"3000",ירושלים,684,"182","שוהם,526 ",חיה מושקא,כ,כ,"601"
"121","1",ירושלים,"3000",ירושלים,685,"182","שוהם,526 ",חיה מושקא,כ, ,"648"
"122","1",ירושלים,"3000",ירושלים,701,"53","שד נוה יעקב,38 ",ביס נווה בת שבע טבנקין, , ,"687"
"123","1",ירושלים,"3000",ירושלים,714,"53","שד נוה יעקב,38 ",ביס נווה בת שבע טבנקין, , ,"690"
"124","1",ירושלים,"3000",ירושלים,715.1,"23","לוחמי הגטאות,7 ",אולפנת צביה יצירתית, , ,"659"
"125","1",ירושלים,"3000",ירושלים,715.2,"23","לוחמי הגטאות,7 ",אולפנת צביה יצירתית, , ,"659"
"126","1",ירושלים,"3000",ירושלים,715.3,"23","לוחמי הגטאות,7 ",אולפנת צביה יצירתית, , ,"658"
"127","1",ירושלים,"3000",ירושלים,720,"389","שד דיין משה,135 ",מינהל קהילתי פסגת זאב,כ, ,"601"
"128","1",ירושלים,"3000",ירושלים,733,"270","רחמילביץ משה,1 ",אולפנא בני עקיבא, , ,"674"
"129","1",ירושלים,"3000",ירושלים,737,"270","רחמילביץ משה,1 ",אולפנא בני עקיבא,כ,כ,"542"
"130","1",ירושלים,"3000",ירושלים,742.1,"483",מחנה פליטים קלנדיה,מינהל קהילתי - מעבר קלנדיה, , ,"599"
"131","1",ירושלים,"3000",ירושלים,742.2,"483",מחנה פליטים קלנדיה,מינהל קהילתי - מעבר קלנדיה, , ,"598"
"132","1",ירושלים,"3000",ירושלים,755,"270","רחמילביץ משה,1 ",אולפנא בני עקיבא, , ,"569"
"133","1",ירושלים,"3000",ירושלים,764,"270","רחמילביץ משה,1 ",אולפנא בני עקיבא, , ,"594"
"134","1",ירושלים,"3000",ירושלים,776.1,"121","מעוז,1 ",אהבת ישראל, , ,"585"
"135","1",ירושלים,"3000",ירושלים,776.2,"121","מעוז,1 ",אהבת ישראל, , ,"585"
"136","1",ירושלים,"3000",ירושלים,776.3,"121","מעוז,1 ",אהבת ישראל, , ,"585"
"137","1",ירושלים,"3000",ירושלים,776.4,"121","מעוז,1 ",אהבת ישראל, , ,"585"
"138","1",ירושלים,"3000",ירושלים,776.5,"121","מעוז,1 ",אהבת ישראל, , ,"585"
"139","1",ירושלים,"3000",ירושלים,776.6,"121","מעוז,1 ",אהבת ישראל, , ,"580"
"140","1",ירושלים,"3000",ירושלים,785.1,"150","מינץ,45 ",בית יעקב סניף רמת פולין, , ,"628"
"141","1",ירושלים,"3000",ירושלים,785.2,"150","מינץ,45 ",בית יעקב סניף רמת פולין, , ,"628"
"142","1",ירושלים,"3000",ירושלים,785.3,"150","מינץ,45 ",בית יעקב סניף רמת פולין, , ,"628"
"143","1",ירושלים,"3000",ירושלים,785.4,"150","מינץ,45 ",בית יעקב סניף רמת פולין, , ,"628"
"144","1",ירושלים,"3000",ירושלים,785.5,"150","מינץ,45 ",בית יעקב סניף רמת פולין, , ,"626"
"145","1",ירושלים,"3000",ירושלים,787.1,"129","רקנטי אברהם,345 ",בית יעקב אוהל רחל,כ,כ,"691"
"146","1",ירושלים,"3000",ירושלים,787.2,"129","רקנטי אברהם,345 ",בית יעקב אוהל רחל,כ, ,"691"
"147","1",ירושלים,"3000",ירושלים,787.3,"129","רקנטי אברהם,345 ",בית יעקב אוהל רחל,כ, ,"689"
"148","1",ירושלים,"3000",ירושלים,789.1,"205","רקנטי אברהם,6 ",מרכז קהילתי בית-אברהם,כ,כ,"515"
"149","1",ירושלים,"3000",ירושלים,789.2,"205","רקנטי אברהם,6 ",מרכז קהילתי בית-אברהם, , ,"515"
"150","1",ירושלים,"3000",ירושלים,789.3,"205","רקנטי אברהם,6 ",מרכז קהילתי בית-אברהם, , ,"514"
"151","1",ירושלים,"3000",ירושלים,793,"374","אביגור שאול,7 ",מנהל קהילתי חומת שמואל, , ,"631"
"152","1",ירושלים,"3000",ירושלים,811.1,"390","קהילות יעקב,10 ",מינהל קהילתי רמת שלמה,כ,כ,"634"
"153","1",ירושלים,"3000",ירושלים,811.2,"390","קהילות יעקב,10 ",מינהל קהילתי רמת שלמה,כ, ,"634"
"154","1",ירושלים,"3000",ירושלים,811.3,"390","קהילות יעקב,10 ",מינהל קהילתי רמת שלמה,כ, ,"634"
"155","1",ירושלים,"3000",ירושלים,811.4,"390","קהילות יעקב,10 ",מינהל קהילתי רמת שלמה, , ,"632"
"156","1",ירושלים,"3000",ירושלים,815,"31","גרינולד,8 ",אולפנא נווה עציון,כ,כ,"439"
"157","1",ירושלים,"3000",ירושלים,832,"376","דבורה הנביאה,2 ",משרד החינוך-לב רם, , ,"607"
"158","1",ירושלים,"3000",ירושלים,854,"374","אביגור שאול,7 ",מנהל קהילתי חומת שמואל,כ,כ,"692"
"159","1",ירושלים,"3000",ירושלים,866,"374","אביגור שאול,7 ",מנהל קהילתי חומת שמואל, , ,"571"
"160","1",ירושלים,"3000",ירושלים,871,"374","אביגור שאול,7 ",מנהל קהילתי חומת שמואל, , ,"680"
"161","1",ירושלים,"3000",ירושלים,967.1,"228","מוצא תחתית,1א",מעגלים - מוצא תחתית, , ,"504"
"162","1",ירושלים,"3000",ירושלים,969,"389","שד דיין משה,135 ",מינהל קהילתי פסגת זאב,כ,כ,"412"
"163","1",ירושלים,"127",רמת רחל,1,"1",רמת רחל,מועדון חברים,כ,כ,"359"
"164","2",יהודה,"1070",אביעזר,1,"2",אביעזר,בית העם,כ,כ,"618"
"165","2",יהודה,"783",אבן ספיר,1,"2",אבן ספיר,בית העם,כ,כ,"506"
"166","2",יהודה,"3759",אדורה,1,"1",אדורה,מזכירות,כ,כ,"264"
"167","2",יהודה,"1123",אדרת,1,"1",אדרת,בית העם,כ,כ,"609"
"168","2",יהודה,"780",אורה,1.1,"2","אורן,1 ",בית הראשונים, , ,"416"
"169","2",יהודה,"780",אורה,1.2,"2","אורן,1 ",בית הראשונים, , ,"415"
"170","2",יהודה,"3604",אלון שבות,1.1,"1",מעלה מיכאל,אולם שמחות,כ,כ,"527"
"171","2",יהודה,"3604",אלון שבות,1.2,"1",מעלה מיכאל,אולם שמחות, , ,"527"
"172","2",יהודה,"3604",אלון שבות,1.3,"1",מעלה מיכאל,אולם שמחות, , ,"527"
"173","2",יהודה,"3604",אלון שבות,3.1,"2",מגיני הגוש,ספריה איזורית, , ,"353"
"174","2",יהודה,"3604",אלון שבות,3.2,"2",מגיני הגוש,ספריה איזורית, , ,"352"
"175","2",יהודה,"3556",אלמוג,1,"1",אלמוג,מבנה המזכירות מועדון לחבר,כ,כ,"195"
"176","2",יהודה,"3618",אלעזר,1,"1","מתתיהו,4 ",מרכז הפיס, , ,"573"
"177","2",יהודה,"3618",אלעזר,2,"1","מתתיהו,4 ",מרכז הפיס,כ,כ,"487"
"178","2",יהודה,"3618",אלעזר,3,"1","מתתיהו,4 ",מרכז הפיס, , ,"575"
"179","2",יהודה,"3754",אספר,1,"1",אספר,האולם של הישוב, , ,"465"
"180","2",יהודה,"3650",אפרת,1,"2",התאנה,תיכון דרך אבות (לבנים),כ,כ,"653"
"181","2",יהודה,"3650",אפרת,2,"2",התאנה,תיכון דרך אבות (לבנים), , ,"655"
"182","2",יהודה,"3650",אפרת,4,"6","שד המלך דוד,35 ",מרכז קהילתי אפרת - הגפן, , ,"595"
"183","2",יהודה,"3650",אפרת,11.1,"8","חנה,3 ",ישיבה תיכונית אורות יהודה,כ,כ,"573"
"184","2",יהודה,"3650",אפרת,11.2,"8","חנה,3 ",ישיבה תיכונית אורות יהודה,כ, ,"573"
"185","2",יהודה,"3650",אפרת,11.3,"8","חנה,3 ",ישיבה תיכונית אורות יהודה, , ,"573"
"186","2",יהודה,"740",אשתאול,1.1,"1",אשתאול,בית העם, , ,"379"
"187","2",יהודה,"740",אשתאול,1.2,"1",אשתאול,בית העם, , ,"378"
"188","2",יהודה,"3574",בית אל,1,"4",בית אל,מועדון פיס גיל הזהב שכונה א',כ,כ,"687"
"189","2",יהודה,"3574",בית אל,2.1,"2",מבוא התקומה,מועדון-מרכז שכונה בית אל ב', , ,"510"
"190","2",יהודה,"3574",בית אל,2.2,"2",מבוא התקומה,מועדון-מרכז שכונה בית אל ב', , ,"510"
"191","2",יהודה,"3574",בית אל,2.3,"2",מבוא התקומה,מועדון-מרכז שכונה בית אל ב', , ,"510"
"192","2",יהודה,"3574",בית אל,3,"4",בית אל,מועדון פיס גיל הזהב שכונה א', , ,"686"
"193","2",יהודה,"3574",בית אל,5,"4",בית אל,מועדון פיס גיל הזהב שכונה א',כ,כ,"600"
"194","2",יהודה,"3645",בית הערבה,1,"2",בית הערבה,מועדון,כ,כ,"239"
"195","2",יהודה,"710",בית זית,1,"2",האגם,ריכוז גנים,כ,כ,"555"
"196","2",יהודה,"710",בית זית,2,"2",האגם,ריכוז גנים, , ,"571"
"197","2",יהודה,"751",בית מאיר,1,"1",בית מאיר,בית העם,כ,כ,"341"
"198","2",יהודה,"672",בית נקופה,1,"2",הערבה,מועדון גן אוטו,כ,כ,"498"
"199","2",יהודה,"2610",בית שמש,2,"5","המעפילים,2 ",שרות תעסוקה, , ,"617"
"200","2",יהודה,"2610",בית שמש,6.1,"4",הרצל,היכל הספורט,כ,כ,"647"
"201","2",יהודה,"2610",בית שמש,6.2,"4",הרצל,היכל הספורט, , ,"647"
"202","2",יהודה,"2610",בית שמש,6.3,"4",הרצל,היכל הספורט, , ,"647"
"203","2",יהודה,"2610",בית שמש,6.4,"4",הרצל,היכל הספורט, , ,"645"
"204","2",יהודה,"2610",בית שמש,8.1,"51","רביצקי,1 ",בית הנוער ז'בוטינסקי, , ,"665"
"205","2",יהודה,"2610",בית שמש,8.2,"51","רביצקי,1 ",בית הנוער ז'בוטינסקי, , ,"665"
"206","2",יהודה,"2610",בית שמש,15,"52","הנרקיס,140 ",מרכז קהילתי מבצע משה, , ,"576"
"207","2",יהודה,"2610",בית שמש,30,"43","נחל עין גדי,39 ",גן שילה,כ,כ,"626"
